Company,% Change
Jubilant Foodworks L,+24.71
Vidhi Specialty Food,+24.64
Saptarishi Agro,+24.62
Yashraj Containeurs,+24.52
Rishiroop L,+24.51
Prozone Intu Propert,+24.48
Nesco Ltd.,+24.48
Manaksia Aluminium,+24.45
Radhey Trade Holding,+24.41
Jump Networks,+24.27
NRB Industrial Beari,+24.26
Magellanic Cloud,+24.24
IMP Powers,+24.23
Shree Hari Chem.,+24.21
Danube Industries L,+24.20
Vanta Bioscience,+24.07
Ruttonsha Intl.,+24.01
Nagarjuna Agrite,+24.00
Balrampur Chini,+23.98
NIIT Ltd.,+23.95
Ruby Mills,+23.95
Atharv Enterprises,+23.94
Kolte-Patil Develope,+23.92
Ansal Housing L,+23.91
Shyam Century Ferro,+23.84
Eros International M,+23.84
Chalet Hotels L,+23.79
Mazda Ltd.,+23.78
Punjab Chemicals and,+23.78
Parag Milk Foods,+23.69
CL Educate,+23.68
Divi's Lab,+23.66
Future Enterprises,+23.62
Vardhman Textiles Lt,+23.56
Neogen Chemicals,+23.54
Talbros Engineering,+23.53
Rasi Electrodes,+23.53
SSPDL Ltd.,+23.50
Jay Bharat Marut,+23.44
Indo Amines Limi,+23.42
Saboo Sodium Ch,+23.42
Shirpur Gold Refiner,+23.38
Arman Financial Serv,+23.33
Vascon Engineers Ltd,+23.32
Welspun Corp,+23.31
HFCL,+23.29
SVP Global Ventures,+23.26
Rajratan Global Wire,+23.24
PTL Enterprises,+23.16
Wall Street Fina,+23.16
Cimmco,+23.16
HKG Ltd,+23.14
Visaka Indus.,+23.12
State Trading,+23.11
Allcargo Logistics,+23.09
Neuland Laborat,+23.08
Rolta India,+23.05
Menon Pistons Li,+23.00
AK Capital Services,+23.00
Fermenta Biotech,+22.96
JK Agri Genetics Ltd,+22.93
Ravindra Energy Ltd.,+22.86
VMS Industries Ltd.,+22.84
Morarjee Textiles Li,+22.81
JBM Auto,+22.79
AMD Industries Ltd.,+22.78
Eastern Silk Indust.,+22.73
Mini Diamonds,+22.69
YES Bank Ltd.,+22.68
Greenpanel Industrie,+22.65
Force Motors,+22.64
InterGlobe Aviation,+22.63
Royal Orchid Hotels,+22.60
Shriram EPC Ltd.,+22.60
Allied Digital Servi,+22.49
Vinyl Chemicals,+22.47
V2 Retail,+22.47
RSWM Ltd.,+22.45
Indiabulls Real Esta,+22.40
Nile,+22.31
Somany Ceramics Ltd.,+22.31
Amines & Plast.,+22.30
B C Power Controls L,+22.30
Somany Home Innovat,+22.27
Kushal L,+22.25
Visa Steel,+22.20
Honeywell Automation,+22.07
OnMobile Global Ltd.,+22.07
BCL Industries,+22.03
Sastasundar Ventures,+22.02
TCI Ltd.,+22.01
Nila Infrastructures,+22.00
Vishnu Chemicals,+21.99
Shilp Gravures L,+21.96
Mahindra Logistics L,+21.91
Mahindra CIE Auto,+21.88
Mayur Uniquoters,+21.82
KDDL Ltd.,+21.81
Jaipan Industrie,+21.80
Tata Power Co.,+21.80
Bambino Agro Ind,+21.79
Essel Propack Ltd.,+21.72
Rathi Bars Ltd.,+21.69
Indosolar Ltd.,+21.67
Arshiya,+21.63
Chemcrux Enterprises,+21.62
Sumedha Fiscal S,+21.59
Hind. Oil Explor,+21.59
Jayshree Tea,+21.45
HOV Services Ltd.,+21.44
Lotus Chocolate,+21.43
Hardwyn India,+21.38
Kirloskar Elect,+21.34
MarathonNextgenRea,+21.26
Piccadily Agro I,+21.21
GlobalSpace Techno,+21.21
Man Industries I,+21.19
Manali Petrochem,+21.11
Solara Active Pharma,+21.09
Brigade Enterprises,+21.09
NOCIL Ltd.,+21.07
Elecon Engg.,+21.01
Onelife Capital Adv,+20.95
Padmanabh Industries,+20.93
Sandu Pharmaceut,+20.92
AGI Infra Ltd.,+20.91
Laurus Labs,+20.88
Amber Enterprises,+20.87
Mastek Li,+20.80
Sun TV Network Ltd.,+20.74
Bharat Immunolog,+20.74
SNL Bearings Ltd.,+20.72
Salzer Electr.,+20.67
Himadri Speciality,+20.65
JSW Energy Ltd.,+20.65
Kernex Microsystems,+20.61
Camlin Fine Sciences,+20.57
Williamson Magor,+20.51
IndusInd Bank,+20.51
Foseco India Lim,+20.49
Power Finance Co,+20.49
Banaras Beads Li,+20.48
Avonmore Capital,+20.45
Pioneer Investco,+20.43
UFO Moviez India Ltd,+20.42
G G Engineering,+20.38
Ind-Swift L,+20.37
Asahi India Glass,+20.37
Baba Arts,+20.34
Biofil Chemicals,+20.31
Kohinoor Foods Ltd.,+20.31
TCNS Clothing,+20.29
Kalyani Forge,+20.28
MothersonSumiSystems,+20.26
Insecticides (India),+20.25
Ortin Laborator.,+20.24
Econo Trade (India),+20.24
Educomp Solutions,+20.21
ITD Cementation Indi,+20.20
CIL Securities L,+20.11
Arvind SmartSpaces,+20.10
Parsvnath Developers,+20.08
Agro Tech Foods Ltd.,+20.01
Ashima Ltd.,+20.00
AYM Syntex,+20.00
Polyspin Exports,+19.95
Mold-Tek Technologi.,+19.91
JMC Projects,+19.91
Joindre Capital,+19.90
Wanbury,+19.87
Pankaj Piyush Trade,+19.85
Crest Ventures,+19.85
Rain Industries,+19.85
Ahluwalia Contra,+19.82
Hind. Composites,+19.78
VST Tillers Tr,+19.78
Eldeco Housing &,+19.71
Mangalam Organics,+19.71
Prima Agro Ltd.,+19.70
Cholamandalam Invest,+19.68
Sadbhav Engineering,+19.65
Arvind Ltd.,+19.65
Virinchi L,+19.64
NDR Auto Components,+19.62
Oricon Enterprises L,+19.59
Nagreeka Exports,+19.58
P&G Health,+19.58
VMV Holidays Ltd.,+19.57
Bedmutha Industries,+19.51
Arrow Greentech,+19.51
Frontier Springs,+19.51
TD Power Systems Ltd,+19.45
BLS International Se,+19.45
Sundaram Finance,+19.44
Tata Coffee Ltd.,+19.37
Jyoti Resins & A,+19.35
Sical Logistics,+19.35
Filatex Fashions,+19.34
Uttam Sugar Mills,+19.34
Zenlabs Ethica,+19.33
Mawana Sugars Ltd.,+19.30
Pitti Engineering,+19.30
Shalimar Paints,+19.25
WelspunInvestments,+19.23
Trejhara Solutions L,+19.20
Premier Explos.,+19.17
Golkunda Diamond,+19.16
Ind Bank Housing,+19.16
OM Metals Infraproje,+19.13
Navketan Merchants,+19.05
Jindal Hotels,+19.05
Rishabh Digha St,+19.03
Century Plyboards,+19.03
Ador Fontech Ltd,+19.01
Lypsa Gems & Jewell,+18.97
Autoline Industries,+18.96
Morepen Labs.Lt,+18.95
GIC Housing Fi,+18.92
AXISCADES Engineer,+18.90
Lemon Tree Hotels,+18.90
Jyothy Labs,+18.88
Niyogin Fintech,+18.84
PG Electroplast Ltd.,+18.82
GHCL,+18.81
Monarch Networth Cap,+18.81
RS Software (India),+18.81
H P Cotton Textiles,+18.75
Inspirisys Solutions,+18.75
Indiabulls Integrate,+18.67
Automotive Stampings,+18.64
Raymond Ltd,+18.62
Mahindra Lifespace D,+18.62
Satia Industries,+18.60
Bampsl Securitie,+18.57
Granules India L,+18.57
PMC Fincorp,+18.52
Jindal Poly Films,+18.50
Kirloskar Oil Engine,+18.48
Vardhman Polytex,+18.48
Cineline India,+18.46
Dhampur Sugar,+18.46
Mercantile Ventures,+18.42
Hindalco Indus.,+18.32
Jagan Lamps,+18.31
Austin Engg. Co.,+18.31
DCM Ltd.,+18.28
Banco Products,+18.26
Fine Organic Indus,+18.22
Soma Textiles,+18.18
Hindustan Media Vent,+18.15
Atul Ltd.,+18.10
Lumax Inds.,+18.00
Jindal St & Pwr,+17.95
Apollo TriCoat Tubes,+17.94
PBM Polytex,+17.89
Mercator Ltd.,+17.86
Sobha,+17.85
IDFC First Bank,+17.79
Shree Renuka Sugars,+17.78
Roto Pumps Ltd,+17.78
Marksans Pharma,+17.78
KNR Constructions,+17.75
The Anup Engineering,+17.71
Fraser & Company,+17.71
Mukand Engineers,+17.71
GTN Industries,+17.69
Kirloskar Ferrou,+17.66
Kesoram Industri,+17.66
Vikas WSP,+17.61
Steel Authority,+17.60
Intellect Design,+17.60
Sunflag Iron,+17.56
Rana Sugars,+17.54
Venus Remedies L,+17.53
A2Z Infra Engineer,+17.53
Emmessar Biotech,+17.38
Igarashi Motors Indi,+17.34
TVS Electronics,+17.34
Gulf Oil Lubricants,+17.33
Asian Hotels (North),+17.26
Goblin India,+17.26
Minda Industries,+17.26
Kalpataru Power,+17.25
Tata Steel Long Prod,+17.23
J Kumar Infraproject,+17.23
Ishan Dyes & Che,+17.19
Luharuka Media & Inf,+17.19
Oriental Trimex,+17.16
Swaraj Engines,+17.11
Lincoln Pharmace,+17.09
BCL Enterprises,+17.09
Apollo Pipes,+17.05
Vertex Securitie,+17.05
Divya Shakthi Gr,+17.00
Keltech Energies,+16.93
Titan Securities,+16.84
Kanpur Plasti.,+16.83
Prism Johnson,+16.82
Polyplex Corpn.,+16.75
Genus Power Infrastr,+16.74
BF Utilities Ltd.,+16.74
Lakshmi Auto Lm.,+16.73
Sutlej Textiles & In,+16.71
Tera Software,+16.70
Mangal Credit & Fin,+16.62
Tata Elxsi Ltd.,+16.57
Welspun Enterprises,+16.56
Enkei Wheels (India),+16.56
Tata Steel,+16.54
Hind. Food,+16.51
Gandhi Special,+16.49
Sintex Industrie,+16.48
Caplin Point Lab,+16.40
Cyient Ltd.,+16.39
Advani Hotels,+16.38
Triton Valves,+16.38
La Tim Metal & Ind,+16.31
Lux Industries,+16.31
Tamilnadu Petroprod,+16.28
Inditrade Capital,+16.28
Kewal Kiran Clothing,+16.26
Schneider Electric,+16.25
Ajmera Realty & Infr,+16.22
Vedanta,+16.20
NBCC (India),+16.16
Surana Solar,+16.14
Nitco Ltd.,+16.05
Rane Holdings Ltd.,+16.00
Jain Irrigation,+15.94
Goenka Business,+15.94
Gujarat Narmada Vall,+15.93
Supreme Petroche,+15.93
Endurance Technologi,+15.91
Maha. Seamless,+15.91
Adani Gas,+15.88
Vision Corporation,+15.87
Yash Pakka,+15.87
Heritage Foods,+15.83
NCC,+15.81
Praj Industries,+15.79
TIL Ltd.,+15.79
KEI Industries,+15.78
Cummins India Lt,+15.78
Siyaram Silk,+15.77
Timken India Ltd,+15.77
Sonata Software,+15.72
LIC Housing Fi,+15.72
City Union Bank,+15.57
Suryalakshmi Cot,+15.56
Metropolis Healthcar,+15.53
Guj. Raffia Indu,+15.50
Newgen Software Tech,+15.46
Shreyans Inds.,+15.46
Repco Home Finance L,+15.42
Superior Finlease,+15.40
Stylam Industries,+15.38
Astra Microwave,+15.37
Avadh Sugar & Energy,+15.33
Crown Tours,+15.27
Deccan Health Care,+15.26
Asian Paints Ltd.,+15.24
Techno Electric&Eng,+15.23
Astec Lifesciences L,+15.22
IM+ Capitals,+15.20
Astral Poly Technik,+15.18
Arvind Fashions,+15.16
Take Solutions Ltd.,+15.16
India Tourism De,+15.14
Walchand Peoplefirst,+15.11
Asso. Alcohols,+15.09
Mehta Integrated,+15.08
Kanoria Chemical,+15.06
HPL Electric & Power,+15.05
Triveni Turbine,+14.98
Avantel Ltd.,+14.97
Resonance Spec.,+14.97
Vipul Ltd.,+14.94
Banswara Syntex,+14.92
NMDC Ltd.,+14.92
Manaksia Ltd.,+14.91
KEC International Lt,+14.85
Tijaria Polypipes Lt,+14.85
Nahar Spg Mills,+14.85
Mahindra Holidays,+14.84
Gorani Industrie,+14.83
Bombay Dyeing,+14.83
Bannari Amman Spinni,+14.83
Hatsun Agro Prod,+14.79
Meghmani Organics,+14.79
Aanchal Ispat Ltd.,+14.79
Aditya Birla Capital,+14.79
Tiaan Ayurvedic & He,+14.78
Tata Steel BSL,+14.77
P G Foils Ltd,+14.77
Avanti Feeds Lim,+14.76
Birla Cable,+14.75
Goenka Diamond & Jew,+14.71
Dhruv Consultancy,+14.71
Munjal Auto Industr.,+14.70
Prataap Snacks,+14.68
Chemfab Alkalis,+14.68
T T Ltd.,+14.67
Titagarh Wagons Ltd.,+14.67
National Fittings,+14.66
NTPC,+14.63
DCB Bank,+14.62
Linde India,+14.61
GFL L,+14.59
Great Eastern,+14.54
West Coast Paper,+14.54
Shivalik Bimetal,+14.52
Lambodhara Texti,+14.50
Trent Ltd.,+14.50
Ganesha Ecosphere,+14.49
TCFC Finance Ltd,+14.46
Brooks Laboratories,+14.41
CSB Bank,+14.38
Parabolic Drugs Ltd.,+14.34
Camex Ltd.,+14.34
Dredging Corpora,+14.33
Vadilal Indus.,+14.32
Akar Auto Industries,+14.29
Facor Alloys Ltd.,+14.29
Indian Infotech,+14.29
Centrum Capital,+14.29
Superhouse Ltd.,+14.26
National Plastic,+14.25
Olectra Greentech,+14.24
Electrotherm (In,+14.23
Emmbi Industries,+14.23
Puravankara,+14.22
Kavit Industries,+14.21
Cosco (India),+14.16
Asian Hotels (East),+14.07
IndiaNivesh,+14.05
TVS Motor Co. Ltd.,+14.01
DLF Ltd.,+14.00
Maral Overseas,+13.96
Denis Chem Lab L,+13.93
Quick Heal Technolog,+13.92
SBI,+13.92
Nandan Denim,+13.92
Future Market Net,+13.91
KG Petrochem Ltd.,+13.86
Inani Marbles &,+13.85
Hester Biosciences L,+13.84
TV Today Network Ltd,+13.82
Uni Abex Alloys,+13.75
Richa Industries Ltd,+13.75
