Company,% Change
Orient Tradelink,+0.86
Sonata Software,+0.85
Cheviot Co Ltd,+0.85
Techno Electric&Eng,+0.84
Tiaan Ayurvedic & He,+0.84
TVS Electronics,+0.84
MRF Ltd,+0.84
Perfectpac,+0.83
G M Breweries Ltd.,+0.83
Lumax Auto Technolog,+0.83
KJMC Financial Serv.,+0.83
NACL Industries L,+0.82
Hind. Copper,+0.82
Vinyl Chemicals,+0.81
Superior Finlease,+0.80
Triveni Glass L.,+0.80
P H Capital Ltd.,+0.79
Shahlon Silk Indust,+0.79
Force Motors,+0.79
Kokuyo Camlin,+0.79
Superhouse Ltd.,+0.78
Gati Ltd.,+0.78
Cigniti Technologies,+0.78
SMS Lifesciences Ind,+0.78
Kovai Medical,+0.78
Indo Borax,+0.77
Stylam Industries,+0.77
Foseco India Lim,+0.77
Orient Cement Ltd.,+0.77
Amara Raja Batt.,+0.77
Bannari Amman Su,+0.76
Panasonic Carbon Ind,+0.75
Power Grid Corpo,+0.75
NBCC (India),+0.75
Thermax,+0.74
Zee Learn Ltd.,+0.74
